key,itemType,name,code,technology,description,retail-price,key:inventor,info,published
item-01,TOOL,Martillo,AAA-000,Clasica,Muy confiable,EUR 22.3,inventor-01,https://ev.us.es/webapps/portal/execute/tabs/tabAction?tab_tab_group_id=_29_1,false
item-02,TOOL,Martillo E.,AAA-000-A,Electico,Demasiado confiable,USD 50.3,inventor-02,null,TRUE
item-03,TOOL,Martillo de Agua,AAB-000-B,Presion,Extremadamente confiable,EUR 80.3,inventor-03,https://ev.us.es/webapps/portal/execute/tabs/tabAction?tab_tab_group_id=_29_1,TRUE
item-04,COMPONENT,Tuerca,BBB-000,Clasica,Increiblemente confiable,EUR 1.5,inventor-04,null,false
item-05,COMPONENT,Tuerca D12,BBB-000-B,Clasica,Increiblemente confiable,USD 0.5,inventor-05,https://ev.us.es/webapps/portal/execute/tabs/tabAction?tab_tab_group_id=_29_1,false
item-06,COMPONENT,Tuerca D20,BBB-000-C,Clasica,Increiblemente confiable,EUR 4.5,inventor-03,null,false
item-07,TOOL,Destornillador de Pala,CCC-000-A,Clasica,Muy confiable,EUR 7.0,inventor-02,null,true
item-08,TOOL,Destornillador de Estrella,CCC-000-B,Clasica,Demasiado confiable,USD 8.0,inventor-02,null,true
item-09,COMPONENT,Arandela D12,DDD-000-A,Clasica,Extremadamente confiable,EUR 0.5,inventor-02,null,true
item-10,COMPONENT,Arandela D20,DDD-000-B,Clasica,Increiblemente confiable,GBP 0.25,inventor-02,null,true
item-11,COMPONENT,Clavo de madera,ZZZ-000-C,Madera,Increiblemente confiable,EUR 4.5,inventor-03,null,FALSE
item-12,TOOL,Llave inglesa,ZZZ-001-C,Cobre,Increiblemente confiable,EUR 44.5,inventor-03,null,FALSE
